stt,msg_id,channel,created_at,excerpt,gt_bucket,gt_deadline,gt_source_channel,gt_needs_confirm,note
1,M01982,channel_10,2026-09-13 21:58,"Gate 1 — Chốt đề tài active +100 XP / member · Deadline 23:59:00 20/9/2026 Chốt bài toán + thiết kế 1-page",soon,23:59:00 20/09/2026,channel_10,FALSE,"deadline rõ + có mốc giờ cụ thể — ca 'trích đúng'"
2,M78917,channel_10,2026-09-14 15:46,"Khung giờ daily standup để được cộng XP: 0h-10h sáng. Nộp trễ vẫn ghi nhận nhưng không +XP",skip,,,FALSE,"luật/khung giờ lặp lại — không có mốc hạn cụ thể"
3,M22827,channel_11,2026-09-12 08:28,"Bình thường nhé, ngày bắt đầu ghi nhận XP daily standup là 14/9 nhé",skip,,,FALSE,"thông tin có ngày nhưng không phải task/deadline phải làm"
4,M07416,channel_10,2026-09-12 23:54,"Hạn nộp Lab02 [@BOT]",skip,,,FALSE,"nhắc hạn nhưng KHÔNG có mốc thời gian → không trích được, bỏ"
5,M56777,channel_10,2026-09-12 20:54,"hạn thành lập team là ngày nào? team không đủ 4 người có bị giải tán không",skip,,,FALSE,"CÂU HỎI về deadline, không phải tuyên bố deadline"
6,M63574,channel_02,2026-09-12 11:06,"buổi workshop chủ nhật ngày mai thì có tính vào số buổi nghỉ ko ạ?",skip,,,FALSE,"câu hỏi, mốc mơ hồ 'chủ nhật ngày mai'"
7,M17046,channel_02,2026-09-12 13:08,"vào trước 30p là được nhé, b liên hệ labcoach hôm đó để điểm danh sau",skip,,,FALSE,"quy tắc 'trước 30p' — không phải task có hạn cụ thể"
8,M89035,channel_10,2026-09-12 07:29,"Bài lab1 tôi clone code, không fork thì bị tính là fail rồi đúng không?",skip,,,FALSE,"lo lắng, không có deadline"
9,M84993,channel_10,2026-09-12 12:51,"check xem t đã nộp bài codelab chưa",skip,,,FALSE,"nhiễu"
10,M77476,channel_10,2026-09-12 13:59,"xem bảng xếp hạng điểm XP kiểu gì",skip,,,FALSE,"nhiễu"
11,M58687,channel_02,2026-09-12 07:35,"Câu hỏi này để hôm ws chủ nhật trao đổi luon nhé",skip,,,FALSE,"nhiễu / hoãn"
12,M41884,channel_02,2026-09-12 18:21,"Mình sẽ đi từng giai đoạn trước tiên là lập team và sẽ có hướng dẫn vào buổi workshop ngày mai",skip,,,FALSE,"thông tin lịch, mốc mơ hồ"
13,M20982,channel_02,2026-09-12 19:07,"điền hồ sơ năng lực trên phoenix mà kỹ năng vừa ít vừa thành thạo không cao thì có sao không",skip,,,FALSE,"nhiễu"
14,M55571,channel_11,2026-09-12 08:16,"em có test thử nộp daily thì nó hiện như vậy là bình thường hay có lỗi ạ",skip,,,FALSE,"nhiễu / hỏi kỹ thuật"
15,M55295,channel_11,2026-09-12 19:06,"nếu mà em điểm danh nhầm thì em có thể gửi lại form theo đúng buổi hôm nay và báo lại",skip,,,FALSE,"quy trình, không deadline"
16,M65681,channel_08,2026-09-13 23:29,"Bạn vừa pull thành công rồi Giờ bạn chạy nốt lệnh thứ 4 thoi",skip,,,FALSE,"nhiễu / hỗ trợ kỹ thuật"
17,M73161,channel_06,2026-09-13 11:54,"ngày mai em chưa về quê được do có 1 vài lý do, nên em vẫn xin phép học bình thường",skip,,,FALSE,"nhiễu / cá nhân — có 'ngày mai' nhưng không phải task chung"
18,M51989,channel_11,2026-09-12 15:31,"mấy hôm nay bọn mình đều cho các học viên điểm danh bằng cách quét mã QR điền form",skip,,,FALSE,"nhiễu / trao đổi vận hành"
19,M22344,channel_11,2026-09-12 15:34,"hôm nay mình đứng ở lớp C401 thì mình đều cho các bạn quét QR điền form",skip,,,FALSE,"nhiễu"
20,M03059,channel_02,2026-09-12 10:21,"Em đang cần hỗ trợ về vấn đề giấy tờ gấp thì em liên lạc đến bộ phận nào",skip,,,FALSE,"nhiễu"
21,M81088,channel_02,2026-09-12 10:22,"Viết mail cho trường nhé,",skip,,,FALSE,"nhiễu"
22,M84888,channel_02,2026-09-12 10:24,"Em mail đến địa chỉ nào được ạ",skip,,,FALSE,"nhiễu"
23,M80709,channel_10,2026-09-12 16:31,"có những ticket type nào",skip,,,FALSE,"nhiễu"
24,M19124,channel_02,2026-09-13 00:25,"a ơi sao deadline ghép đội tự do end sớm vậy a?",confirm,,channel_02,TRUE,"CẶP MÂU THUẪN (1/2) — ghép với M50841 ở kênh khác → nhãn kỳ vọng = ⚪ cần xác nhận"
25,M50841,channel_11,2026-09-13 21:18,"Các bạn chờ BTC ghép đội nhé, hiện tại cửa sổ lập đội tự do đã đóng",confirm,,channel_11,TRUE,"CẶP MÂU THUẪN (2/2) — ghép với M19124 → nhãn kỳ vọng = ⚪ cần xác nhận"
26,M13092,channel_10,2026-09-13 22:00,"Mốc quan trọng: 22:00 13/9 công khai ngân hàng đề tài; 23:59 20/9 hạn cuối đăng ký đề tài + hoàn thiện Gate 1.",soon,23:59 20/09/2026,channel_10,FALSE,"thật (thông báo BTC) — test chọn đúng mốc 20/9 giữa 2 ngày, bỏ 13/9 đã qua"
27,SYN01,channel_10,2026-09-14 08:12,"Nhắc: hạn nộp Lab03 là 23:59 hôm nay 14/9, trễ không tính +XP",do_now,23:59 14/09/2026,channel_10,FALSE,"BỊA — không có trong data BTC · test do_now (hạn = hôm nay)"
28,SYN02,channel_11,2026-09-13 09:30,"Ai chưa nộp Lab01 thì hạn chót 23:59 13/9 (đã trễ) — liên hệ Lab Coach gấp",do_now,23:59 13/09/2026,channel_11,FALSE,"BỊA — không có trong data BTC · test do_now (đã quá hạn)"
29,SYN03,build-phase,2026-09-14 10:05,"Hạn điền form xác nhận nhóm: 17:00 ngày 16/9, quá giờ BTC chốt danh sách",do_now,17:00 16/09/2026,build-phase,FALSE,"BỊA — không có trong data BTC · test do_now (còn ≤ 2 ngày)"
30,SYN04,channel_02,2026-09-12 19:40,"Workshop 2 (bắt buộc) lúc 14:00 ngày 21/9 tại E403",soon,14:00 21/09/2026,channel_02,FALSE,"BỊA — không có trong data BTC · test soon (còn > 2 ngày)"
31,SYN05,channel_10,2026-09-13 16:20,"Hạn nộp bản PRD chi tiết cho mentor: 23:59 25/9",soon,23:59 25/09/2026,channel_10,FALSE,"BỊA — không có trong data BTC · test soon (còn > 2 ngày)"
32,SYN06,channel_02,2026-09-14 09:15,"Hạn nộp biên bản họp nhóm tuần 1: 23:59 18/9",soon,23:59 18/09/2026,channel_02,FALSE,"BỊA — không có trong data BTC · test soon (còn > 2 ngày)"
